pair,timeframe,accuracy,epochs,features,lookback,dropout,gru1,gru2
EURUSD,1h,57.06174591909156,17,"['Open', 'High', 'Low', 'Close']",15,0.2,32,16
EURUSD,1h,57.06174591909156,28,"['Open', 'High', 'Low', 'Close']",15,0.2,64,32
EURUSD,1h,57.06174591909156,21,"['Open', 'High', 'Low', 'Close']",15,0.3,32,16
EURUSD,1h,57.06174591909156,24,"['Open', 'High', 'Low', 'Close']",15,0.3,64,32
EURUSD,1h,57.112375533428164,19,"['Open', 'High', 'Low', 'Close']",30,0.2,32,16
EURUSD,1h,57.112375533428164,35,"['Open', 'High', 'Low', 'Close']",30,0.2,64,32
EURUSD,1h,57.112375533428164,30,"['Open', 'High', 'Low', 'Close']",30,0.3,32,16
EURUSD,1h,57.112375533428164,40,"['Open', 'High', 'Low', 'Close']",30,0.3,64,32
EURUSD,1h,56.99077359829666,58,"['Open', 'High', 'Low', 'Close', 'RSI', 'MACD', 'EMA20', 'ATR']",15,0.2,32,16
EURUSD,1h,56.281050390347765,34,"['Open', 'High', 'Low', 'Close', 'RSI', 'MACD', 'EMA20', 'ATR']",15,0.2,64,32
EURUSD,1h,57.13271823988645,72,"['Open', 'High', 'Low', 'Close', 'RSI', 'MACD', 'EMA20', 'ATR']",15,0.3,32,16
EURUSD,1h,56.56493967352733,40,"['Open', 'High', 'Low', 'Close', 'RSI', 'MACD', 'EMA20', 'ATR']",15,0.3,64,32
EURUSD,1h,57.82361308677098,21,"['Open', 'High', 'Low', 'Close', 'RSI', 'MACD', 'EMA20', 'ATR']",30,0.2,32,16
EURUSD,1h,56.1877667140825,45,"['Open', 'High', 'Low', 'Close', 'RSI', 'MACD', 'EMA20', 'ATR']",30,0.2,64,32
EURUSD,1h,57.53911806543386,62,"['Open', 'High', 'Low', 'Close', 'RSI', 'MACD', 'EMA20', 'ATR']",30,0.3,32,16
EURUSD,1h,56.47226173541963,62,"['Open', 'High', 'Low', 'Close', 'RSI', 'MACD', 'EMA20', 'ATR']",30,0.3,64,32
EURUSD,1d,81.0916179337232,45,"['Open', 'High', 'Low', 'Close']",15,0.2,32,16
